Planning Region,town,street_name,Flat_Type,Storey_Level,Resale Price,Area (SQM),Sales,Area Unit (PSF)
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,01 TO 03,312177.7662,69.93506494,77,414.7031478
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,01 TO 03,431559,95.125,32,421.4789155
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,5 ROOM,01 TO 03,565500,124.3333333,6,422.5473455
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,01 TO 05,357000,72.4,5,458.0996875
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,01 TO 05,463333.3333,94,9,457.9267751
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,04 TO 06,334751.2727,70.78787879,99,439.3328563
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,04 TO 06,473739.2,93.86666667,60,468.8762902
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,5 ROOM,04 TO 06,649526.8571,122.8571429,7,491.1645883
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,06 TO 10,368500,71.625,8,477.9728219
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,06 TO 10,460000,88,1,485.6299972
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,07 TO 09,340707.1818,71.22727273,88,444.3910648
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,07 TO 09,496413.9636,94.32727273,55,488.91916
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,5 ROOM,07 TO 09,713878.8,121.8,10,544.5121091
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,EXECUTIVE,07 TO 09,780000,163,1,444.5671247
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,10 TO 12,348452.642,70.13580247,81,461.5665598
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,10 TO 12,494476.0851,93.40425532,47,491.8231596
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,5 ROOM,10 TO 12,759928.5714,121.9285714,14,579.0254242
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,11 TO 15,393000,73,1,500.1497268
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,11 TO 15,527000,97,1,504.741747
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,13 TO 15,361142.8571,68.28571429,7,491.3370552
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,13 TO 15,558524.25,90.9375,16,570.596849
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,5 ROOM,13 TO 15,714833.3333,122.3333333,6,542.8631119
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,16 TO 18,482666.6667,70,3,640.5892005
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,16 TO 18,648307.6923,90.30769231,13,666.9400161
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,5 ROOM,16 TO 18,862007,121,8,661.8442008
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,19 TO 21,464125,70,8,615.980931
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,19 TO 21,677377.6,92.2,5,682.5433749
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,5 ROOM,19 TO 21,915000,120,2,708.3863655
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,22 TO 24,467333.3333,70,3,620.2389911
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,22 TO 24,713377.6,95.6,5,693.253262
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,5 ROOM,22 TO 24,926500,121,2,711.3615691
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,25 TO 27,473412.5714,70,7,628.3072803
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,25 TO 27,710333.3333,93,6,709.5934403
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,3 ROOM,28 TO 30,500600,70,5,664.3900976
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,4 ROOM,28 TO 30,699977.6,95.6,5,680.2312752
North-East Region,ANG MO KIO,ANG MO KIO AVE 1,5 ROOM,28 TO 30,913600,121,5,701.4570205
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,2 ROOM,01 TO 03,246088.8889,44,9,519.6006367
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,3 ROOM,01 TO 03,299278.5579,69.49356223,233,400.0933878
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,4 ROOM,01 TO 03,406686.3492,92.71428571,63,407.5147043
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,5 ROOM,01 TO 03,545047.619,119.952381,21,422.1394303
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,EXECUTIVE,01 TO 03,727500,157,2,430.4906179
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,3 ROOM,01 TO 05,348568.9655,71.03448276,29,455.8792663
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,4 ROOM,01 TO 05,447428.5714,93,7,446.9625236
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,5 ROOM,01 TO 05,555000,119,1,433.2877067
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,EXECUTIVE,01 TO 05,698000,162,1,400.2863252
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,2 ROOM,04 TO 06,240600,44,5,508.0112058
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,3 ROOM,04 TO 06,314997.7914,70.6809816,326,414.0333096
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,4 ROOM,04 TO 06,424888.1519,92.25316456,79,427.8816815
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,5 ROOM,04 TO 06,553866.6667,119.4666667,15,430.7138411
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,EXECUTIVE,04 TO 06,815600,164.8,5,459.7802958
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,3 ROOM,06 TO 10,362266.6667,73,18,461.0370849
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,4 ROOM,06 TO 10,453000,92.75,8,453.7479013
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,5 ROOM,06 TO 10,612500,119.5,2,476.1771303
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,2 ROOM,07 TO 09,248400,44,5,524.480397
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,3 ROOM,07 TO 09,326952.2013,71.23825503,298,426.3844309
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,4 ROOM,07 TO 09,443036.5714,92.56043956,91,444.6768441
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,5 ROOM,07 TO 09,601773.0526,119.2105263,19,468.9736872
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,EXECUTIVE,07 TO 09,789000,169.5,2,432.4517374
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,2 ROOM,10 TO 12,235875,44,8,498.0346765
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,3 ROOM,10 TO 12,329343.5358,70.73720137,293,432.5453185
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,4 ROOM,10 TO 12,438618.5495,92.52747253,91,440.399321
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,5 ROOM,10 TO 12,593148.1481,120.8518519,27,455.974142
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,EXECUTIVE,10 TO 12,793629.3333,167,3,441.5008925
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,3 ROOM,11 TO 15,373500,72.4,10,479.2723622
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,4 ROOM,11 TO 15,469166.6667,92,6,473.772302
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,3 ROOM,13 TO 15,339044.4103,71.87179487,78,438.2565782
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,4 ROOM,13 TO 15,438083.3333,92,12,442.3838351
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,5 ROOM,13 TO 15,616835.52,120,25,477.549587
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,EXECUTIVE,13 TO 15,804500,165.75,4,450.9234872
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,3 ROOM,16 TO 18,310000,68,1,423.5289746
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,4 ROOM,16 TO 18,460000,93,1,459.5208576
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,5 ROOM,16 TO 18,611095.7241,119.137931,29,476.5292208
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,3 ROOM,16 TO 20,350000,68,1,478.1778745
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,5 ROOM,16 TO 20,658000,119,1,513.6996595
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,5 ROOM,19 TO 21,618609.2581,118.7419355,31,483.9969639
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,5 ROOM,21 TO 25,628250,119.5,2,488.4216851
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,5 ROOM,22 TO 24,631869.5652,118.9130435,23,493.6603974
North-East Region,ANG MO KIO,ANG MO KIO AVE 10,5 ROOM,25 TO 27,604800,118.6666667,6,473.4928059
North-East Region,ANG MO KIO,ANG MO KIO AVE 2,5 ROOM,01 TO 03,713888,135,1,491.2772563
North-East Region,ANG MO KIO,ANG MO KIO AVE 2,5 ROOM,04 TO 06,808000,135,1,556.0424368
North-East Region,ANG MO KIO,ANG MO KIO AVE 2,5 ROOM,07 TO 09,755000,135,2,519.5693561
North-East Region,ANG MO KIO,ANG MO KIO AVE 2,5 ROOM,10 TO 12,759750,135,4,522.83817
North-East Region,ANG MO KIO,ANG MO KIO AVE 2,5 ROOM,13 TO 15,810000,135,1,557.4187794
North-East Region,ANG MO KIO,ANG MO KIO AVE 2,5 ROOM,16 TO 18,775296,135,3,533.5364815
North-East Region,ANG MO KIO,ANG MO KIO AVE 2,5 ROOM,19 TO 21,818888,135,1,563.5352462
North-East Region,ANG MO KIO,ANG MO KIO AVE 2,5 ROOM,22 TO 24,850444,135,2,585.2511808
North-East Region,ANG MO KIO,ANG MO KIO AVE 2,5 ROOM,25 TO 27,838000,135,1,576.6875768
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,2 ROOM,01 TO 03,256428.5714,44.57142857,7,534.4907634
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,3 ROOM,01 TO 03,317120.1353,70.5410628,207,417.6496916
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,4 ROOM,01 TO 03,432223.3263,94.22105263,95,426.1775762
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,5 ROOM,01 TO 03,574900,125.1,10,426.9385242
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,3 ROOM,01 TO 05,360400,70.9,20,472.2466575
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,4 ROOM,01 TO 05,474444.4444,95.88888889,9,459.671338
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,2 ROOM,04 TO 06,249077.1111,44,18,525.910073
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,3 ROOM,04 TO 06,334972.4052,71.76143791,306,433.6588812
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,4 ROOM,04 TO 06,446289.1111,93.38095238,126,444.0054873
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,5 ROOM,04 TO 06,592527.2941,122.6470588,17,448.8296801
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,EXECUTIVE,04 TO 06,915000,174,1,488.5423211
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,3 ROOM,06 TO 10,373708,71.5,22,485.5754248
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,4 ROOM,06 TO 10,469000,92.54545455,11,470.81262
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,5 ROOM,06 TO 10,515000,117,1,408.9325804
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,2 ROOM,07 TO 09,255142.8571,44,14,538.7175
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,3 ROOM,07 TO 09,341865.5704,71.62592593,270,443.4201874
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,4 ROOM,07 TO 09,465408.4539,93.31205674,141,463.3688675
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,5 ROOM,07 TO 09,591383.2,122.05,20,450.154447
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,EXECUTIVE,07 TO 09,780333.3333,166.3333333,3,435.8441425
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,2 ROOM,10 TO 12,252690.4762,44,21,533.5394576
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,3 ROOM,10 TO 12,350031.4695,71.12903226,217,457.1834882
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,4 ROOM,10 TO 12,481521.8966,94.13793103,116,475.2058051
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,5 ROOM,10 TO 12,620307.6923,123.8461538,13,465.3235028
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,EXECUTIVE,10 TO 12,834000,162,2,478.2790762
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,3 ROOM,11 TO 15,370600,68.3,10,504.0980958
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,4 ROOM,11 TO 15,505666.6667,94,3,499.7661279
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,3 ROOM,13 TO 15,355318.8,72.4,10,455.9423845
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,4 ROOM,13 TO 15,491444.4444,96,9,475.5909069
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,5 ROOM,13 TO 15,645142.8571,121.8571429,7,491.8529128
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,5 ROOM,16 TO 18,604444,119,2,471.8885668
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,5 ROOM,19 TO 21,626666.6667,119,3,489.2377709
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,5 ROOM,22 TO 24,642666.6667,119,3,501.7289481
North-East Region,ANG MO KIO,ANG MO KIO AVE 3,5 ROOM,25 TO 27,670000,119,1,523.0680423
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,2 ROOM,01 TO 03,226142.8571,44.71428571,7,469.8583215
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,3 ROOM,01 TO 03,309100.9481,71.2962963,135,402.7761193
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,4 ROOM,01 TO 03,412322.8235,92.54901961,51,413.9004497
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,5 ROOM,01 TO 03,578324,132.5,12,405.4951675
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,EXECUTIVE,01 TO 03,739800,149.8,5,458.8099833
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,2 ROOM,01 TO 05,270000,45,1,557.4187794
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,3 ROOM,01 TO 05,355000,76.52941177,17,430.953412
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,4 ROOM,01 TO 05,440000,91,1,449.2019468
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,2 ROOM,04 TO 06,235375,44.58333333,12,490.4764307
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,3 ROOM,04 TO 06,323339.5341,71.27272727,176,421.4691354
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,4 ROOM,04 TO 06,427057.625,93.625,64,423.7649134
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,5 ROOM,04 TO 06,596988.8,130.1,10,426.3038281
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,EXECUTIVE,04 TO 06,785923.0769,150.4615385,13,485.2716146
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,2 ROOM,06 TO 10,250000,45,1,516.1284995
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,3 ROOM,06 TO 10,337312.5,68.5,8,457.4801023
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,4 ROOM,06 TO 10,450314.6667,94.16666667,6,444.2723042
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,5 ROOM,06 TO 10,631666.6667,132.6666667,3,442.3402793
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,EXECUTIVE,06 TO 10,790000,153,1,479.6958995
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,2 ROOM,07 TO 09,242686.6667,44.66666667,15,504.7690504
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,3 ROOM,07 TO 09,318625.0201,70.69127517,149,418.7399586
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,4 ROOM,07 TO 09,440780.3077,94,52,435.6369169
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,5 ROOM,07 TO 09,617416.6667,126.0833333,12,454.9367412
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,EXECUTIVE,07 TO 09,815844.2667,150.6,15,503.2834388
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,2 ROOM,10 TO 12,240000,44.66666667,6,499.1809965
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,3 ROOM,10 TO 12,333874.5197,71.02362205,127,436.7277672
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,4 ROOM,10 TO 12,445245.8571,95.05357143,56,435.1728513
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,5 ROOM,10 TO 12,665727.2727,127.9090909,11,483.5320684
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,EXECUTIVE,10 TO 12,822400,152.8,5,500.0231285
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,3 ROOM,11 TO 15,359400,71.8,5,465.0332157
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,4 ROOM,11 TO 15,445500,94.75,4,436.8162995
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,3 ROOM,13 TO 15,340727.2727,73.27272727,11,432.0110805
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,4 ROOM,13 TO 15,447250,92,4,451.6404875
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,5 ROOM,13 TO 15,694500,132,4,488.7971494
North-East Region,ANG MO KIO,ANG MO KIO AVE 4,EXECUTIVE,13 TO 15,818000,149,1,510.0319481
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,3 ROOM,01 TO 03,303057.9535,70.17829457,129,401.1928844
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,4 ROOM,01 TO 03,385824,92.66666667,24,386.8085309
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,5 ROOM,01 TO 03,535625,121.375,16,409.9793117
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,3 ROOM,01 TO 05,332600,67.5,10,457.7715705
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,4 ROOM,01 TO 05,429400,91.6,5,435.5087771
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,5 ROOM,01 TO 05,544000,121,2,417.6801873
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,3 ROOM,04 TO 06,314407.0734,71.22033898,177,410.1272418
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,4 ROOM,04 TO 06,432275.0476,92.90476191,21,432.2674541
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,5 ROOM,04 TO 06,601700,122.25,20,457.2581862
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,EXECUTIVE,04 TO 06,810000,168,3,447.9258049
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,3 ROOM,06 TO 10,359740.6667,73.33333333,12,455.7413712
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,4 ROOM,06 TO 10,449000,91,2,458.3901684
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,5 ROOM,06 TO 10,604000,121,1,463.7478551
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,3 ROOM,07 TO 09,320462.9149,71.37234043,188,417.1364934
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,4 ROOM,07 TO 09,442599.375,92.575,40,444.1681581
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,5 ROOM,07 TO 09,615198.5882,122.7647059,17,465.5562358
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,EXECUTIVE,07 TO 09,821666.6667,168,3,454.3774111
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,3 ROOM,10 TO 12,330659.1268,70.54929578,142,435.4298292
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,4 ROOM,10 TO 12,459928.125,92.65625,32,461.1535902
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,5 ROOM,10 TO 12,603995.1304,121.6086957,23,461.4229087
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,EXECUTIVE,10 TO 12,880333.3333,167.3333333,3,488.759295
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,3 ROOM,11 TO 15,354000,69.83333333,6,470.9456991
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,5 ROOM,11 TO 15,603000,121,1,462.9800606
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,3 ROOM,13 TO 15,350666.6667,74.25,12,438.7613588
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,4 ROOM,13 TO 15,446400,94.8,5,437.4679029
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,5 ROOM,13 TO 15,618714.2857,119.7142857,7,480.1473217
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,5 ROOM,16 TO 18,636666.6667,118,3,501.2570003
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,5 ROOM,19 TO 21,681500,118,4,536.5549409
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,5 ROOM,22 TO 24,697500,118,4,549.1519755
North-East Region,ANG MO KIO,ANG MO KIO AVE 5,5 ROOM,25 TO 27,687500,119,4,536.7302673
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,3 ROOM,01 TO 03,298076.4571,69.28571429,35,399.6817541
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,4 ROOM,01 TO 03,445444.4444,93.55555556,18,442.3380615
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,5 ROOM,01 TO 03,659236,116.75,8,524.5831927
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,3 ROOM,01 TO 05,348250,71,4,455.6833097
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,4 ROOM,01 TO 05,480000,92,1,484.7119821
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,3 ROOM,04 TO 06,320180.9474,70.60526316,38,421.2973767
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,4 ROOM,04 TO 06,501469.3333,91.45454546,33,509.412303
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,5 ROOM,04 TO 06,706698.2857,117.7142857,7,557.7443914
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,EXECUTIVE,04 TO 06,845000,163,1,481.6143851
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,3 ROOM,06 TO 10,342000,68,1,467.2480945
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,4 ROOM,06 TO 10,503666.6667,94,3,497.7894656
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,5 ROOM,06 TO 10,606500,119,2,473.4936831
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,3 ROOM,07 TO 09,336296.2667,71.76666667,30,435.3410462
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,4 ROOM,07 TO 09,492021.8065,93.32258065,31,489.8103491
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,5 ROOM,07 TO 09,693437.5,115,8,560.1957752
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,EXECUTIVE,07 TO 09,863000,162,1,494.9098834
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,3 ROOM,10 TO 12,335431.6129,70.19354839,31,443.953147
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,4 ROOM,10 TO 12,492592.5333,92.06666667,30,497.0679375
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,5 ROOM,10 TO 12,717059.2,116.3333333,15,572.6393468
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,3 ROOM,11 TO 15,438000,89,1,457.2086618
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,4 ROOM,11 TO 15,546500,91,4,557.9292362
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,3 ROOM,13 TO 15,325000,75,1,402.5802296
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,4 ROOM,13 TO 15,524180,93.7,10,519.7221199
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,5 ROOM,13 TO 15,726992,115,14,587.3028888
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,4 ROOM,16 TO 18,604166.6667,88.33333333,3,635.4223508
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,5 ROOM,16 TO 18,771363.6364,113.9090909,11,629.116566
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,5 ROOM,16 TO 20,771000,111,2,645.3001185
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,4 ROOM,19 TO 21,639250,88,4,674.8673386
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,5 ROOM,19 TO 21,764890.9091,113.9090909,11,623.8374736
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,4 ROOM,22 TO 24,643750,90,4,664.5154431
North-East Region,ANG MO KIO,ANG MO KIO AVE 6,5 ROOM,22 TO 24,900000,110,1,760.1165174
North-East Region,ANG MO KIO,ANG MO KIO AVE 8,2 ROOM,01 TO 03,241444.4444,44,9,509.7941952
North-East Region,ANG MO KIO,ANG MO KIO AVE 8,3 ROOM,01 TO 03,321175.225,70.7,40,422.0393727
North-East Region,ANG MO KIO,ANG MO KIO AVE 8,4 ROOM,01 TO 03,427750,92,4,431.9490632
North-East Region,ANG MO KIO,ANG MO KIO AVE 8,5 ROOM,01 TO 03,550000,134,1,381.3188168
North-East Region,ANG MO KIO,ANG MO KIO AVE 8,2 ROOM,01 TO 05,259000,44,3,546.8616056
North-East Region,ANG MO KIO,ANG MO KIO AVE 8,3 ROOM,01 TO 05,371733.3333,77,3,448.5089631
North-East Region,ANG MO KIO,ANG MO KIO AVE 8,4 ROOM,01 TO 05,480000,93,1,479.5000253
North-East Region,ANG MO KIO,ANG MO KIO AVE 8,2 ROOM,04 TO 06,254692.3077,44,13,537.7661943
North-East Region,ANG MO KIO,ANG MO KIO AVE 8,3 ROOM,04 TO 06,327567.3191,69.34042553,47,438.8786047
North-East Region,ANG MO KIO,ANG MO KIO AVE 8,4 ROOM,04 TO 06,435833.3333,91.66666667,6,441.712154
North-East Region,ANG MO KIO,ANG MO KIO AVE 8,5 ROOM,04 TO 06,555000,117,1,440.6943342
North-East Region,ANG MO KIO,ANG MO KIO AVE 8,EXECUTIVE,04 TO 06,850888,163,1,484.9702969
North-East Region,ANG MO KIO,ANG MO KIO AVE 8,2 ROOM,07 TO 09,252928.5714,44,14,534.0421802
North-East Region,ANG MO KIO,ANG MO KIO AVE 8,3 ROOM,07 TO 09,341333.0833,70.5,48,449.8001671
North-East Region,ANG MO KIO,ANG MO KIO AVE 8,4 ROOM,07 TO 09,434444.4444,92.22222222,9,437.6520939
North-East Region,ANG MO KIO,ANG MO KIO AVE 8,5 ROOM,07 TO 09,670000,117,1,532.0093764
North-East Region,ANG MO KIO,ANG MO KIO AVE 8,EXECUTIVE,07 TO 09,835000,155,1,500.4781514
North-East Region,ANG MO KIO,ANG MO KIO AVE 8,3 ROOM,10 TO 12,339996.5,68.96875,32,457.9862475
