Year,Year-Month,Area (SQM),Total Resale Price,Average Resale Price,Median Resale Price,Flat_Type,Sales,Unit Area (PSF)
2019,2019-08,171.5,1528888,764444,764444,MULTI-GENERATION,2,414.1063571
2019,2019-09,31,165000,165000,165000,1 ROOM,1,494.4844011
2019,2019-09,46.23809524,9613388,228890.1905,226500,2 ROOM,42,459.8938384
2019,2019-09,68.03846154,139827244,298776.1624,280000,3 ROOM,468,407.9639663
2019,2019-09,95.7232267,310723516,432160.662,397000,4 ROOM,719,419.4288002
2019,2019-09,118.5795207,244017254,531628.0044,480000,5 ROOM,459,416.5129464
2019,2019-09,144.7112676,87277103,614627.4859,605500,EXECUTIVE,142,394.5844585
2019,2019-10,45.57142857,9297000,221357.1429,225500,2 ROOM,42,451.2645761
2019,2019-10,67.90374332,168029712,299518.2032,285000,3 ROOM,561,409.7885799
2019,2019-10,94.76222222,386986843,429985.3811,400000,4 ROOM,900,421.5497145
2019,2019-10,117.7401869,281525515,526215.9159,488000,5 ROOM,535,415.2117206
2019,2019-10,145.1916168,101843125,609839.0719,602888,EXECUTIVE,167,390.2150811
2019,2019-10,165,905000,905000,905000,MULTI-GENERATION,1,509.5595913
2019,2019-11,45.88372093,9468800,220204.6512,220000,2 ROOM,43,445.859684
2019,2019-11,67.90690423,135898443,302669.1381,285888,3 ROOM,449,414.0802849
2019,2019-11,95.36977887,353912235,434781.6155,405000,4 ROOM,814,423.536401
2019,2019-11,118.4312896,248417288.9,525195.1139,490000,5 ROOM,473,411.9879978
2019,2019-11,144.7538462,81074827,623652.5154,612000,EXECUTIVE,130,400.2606645
2019,2019-11,169,988888,988888,988888,MULTI-GENERATION,1,543.6141439
2019,2019-12,46.17647059,7578088,222884.9412,225500,2 ROOM,34,448.4255375
2019,2019-12,68.18682008,143745100,300721.9665,285000,3 ROOM,478,409.7274501
2019,2019-12,94.94778068,332295540,433806.188,405000,4 ROOM,766,424.4643987
2019,2019-12,117.9561201,226377202,522811.0901,485000,5 ROOM,433,411.769958
2019,2019-12,144.3566434,89643316,626876.3357,590000,EXECUTIVE,143,403.4367404
2020,2020-01,45.52941177,7786300,229008.8235,225750,2 ROOM,34,467.2943413
2020,2020-01,67.5745614,138889796,304582.886,290000,3 ROOM,456,418.7478666
2020,2020-01,94.6311971,351456180,424977.243,395000,4 ROOM,827,417.2167026
2020,2020-01,118.6801706,244675467,521696.0917,493000,5 ROOM,469,408.3849858
2020,2020-01,145.518797,83525184,628008.9023,590000,EXECUTIVE,133,400.9378433
